Cluster,Epic Title,Epic Body,Epic Labels,Task Section
0," Epic Issue: Table Properties Alignment and Selection Improvements
"," This epic issue aims to address various table properties alignment and selection improvements in the UI. It includes two related issues:
- Align table properties UI to multi-range selection
- Test whether all table features are still functional if the table selection does not work

"," ['type:epic', 'package:table', 'domain:ui/ux']","- [ ] [Align table properties UI to multi-range selection](https://github.com/ckeditor/ckeditor5/issues/6150)

- [ ] [Test whether all table features are still functional if the table selection does not work](https://github.com/ckeditor/ckeditor5/issues/6151)
"
7," Epic Issue: Improve Software Project Management

"," This epic issue aims to improve software project management by addressing several issues related to table selection, input handling, and plugin migration. The specific tasks include addressing bugs and improvements in table selection behavior, enhancing input observer functionality, migrating the Delete, Enter, and ShiftEnter plugins to the beforeInput event, and using insert* types for various features. Additionally, the epic includes creating an executable script for the stale bot.

"," ['type:epic', 'squad:core', 'domain:ui/ux', 'domain:dx', 'package:table', 'package:typing', 'package:list', 'package:horizontal-rule', 'package:dev', 'squad:devops', 'status:stale']","- [ ] [Table selection does not cooporate with typing](https://github.com/ckeditor/ckeditor5/issues/6284)

- [ ] [Position table cell properties balloon in relation to multiple-cell](https://github.com/ckeditor/ckeditor5/issues/6357)

- [ ] [Improve InputObserver so the event passes and normalizes additional information](https://github.com/ckeditor/ckeditor5/issues/7996)

- [ ] [Migrate the Delete plugin to the beforeInput event](https://github.com/ckeditor/ckeditor5/issues/7998)

- [ ] [Migrate the Enter and ShiftEnter plugins to beforeInput](https://github.com/ckeditor/ckeditor5/issues/7999)

- [ ] [Use insert* beforeInput types across the features (list, horizontal line, etc.)](https://github.com/ckeditor/ckeditor5/issues/8001)

- [ ] [[TS] Allow running tests written in TS (automated, manual)](https://github.com/ckeditor/ckeditor5/issues/11888)

- [ ] [Create an executable script for the stale bot](https://github.com/ckeditor/ckeditor5/issues/15402)
"
29," Create Epic Issue for Table Enhancements
"," This epic issue aims to address and enhance the functionality of the table feature in the software. It includes tasks such as enabling table selection as a core feature, adding missing badges to the README.md, and enabling block drag and drop by default. The goal is to ensure the reliability and usability of the table feature before release. 

"," ['type:epic', 'package:table', 'package:find-and-replace', 'squad:core']","- [ ] [Enable table selection as core table feature](https://github.com/ckeditor/ckeditor5/issues/6343)

- [ ] [Add missing badges README.md](https://github.com/ckeditor/ckeditor5/issues/10040)

- [ ] [[Drag & drop] Enable block drag and drop by default](https://github.com/ckeditor/ckeditor5/issues/14734)
"
20," Epic Issue: Fix Cell Selection Logic

"," This epic issue aims to address the problem with cell selection in which the minimum selection is always two cells, even when trying to select a single cell. The current logic only supports multi-range cell selections but neglects the option of single-cell selections. It is necessary to enhance the cell selection logic so that it allows for selecting a single cell as well.

"," ['type:bug', 'package:table']","- [ ] [It should be possible to make selection of a single cell.](https://github.com/ckeditor/ckeditor5/issues/6347)
"
28," Code Coverage and Monorepo Epic Issue
"," This epic issue aims to address code coverage for the monorepo structure and ensure that the online builder can handle the monorepo setup. Additionally, it includes testing and stabilizing composition (IME) using beforeInput on desktop browsers for Linux. Lastly, it involves removing the 'I' type parameter from the 'Collection' class in order to simplify and improve the codebase. This epic issue serves as a container for these multiple subtasks.

", ['type:epic'],"- [ ] [Code coverage for monorepo](https://github.com/ckeditor/ckeditor5/issues/6478)

- [ ] [Online builder with monorepo](https://github.com/ckeditor/ckeditor5/issues/6480)

- [ ] [Test and stabilize composition (IME) using beforeInput on desktop browsers (Linux)](https://github.com/ckeditor/ckeditor5/issues/8010)

- [ ] [[TS] Remove `I` type parameter from `Collection`](https://github.com/ckeditor/ckeditor5/issues/12763)
"
2," Epic Issue: Improve CKEditor5 Drag & Drop Functionality
"," This epic aims to improve the drag and drop functionality in CKEditor5 by addressing several related issues. The issues include adjusting documentation for the monorepo, restoring and checking the image attribute proof of concept (PoC), researching how different sources of HTML interact with image attributes, addressing the issue of images wider than the editor being shrunk horizontally, improving the drop target line, changing the default icon of the Balloon block editor, and enhancing the image preview during drag and drop. These improvements will enhance the user experience and provide more intuitive drag and drop features in CKEditor5.
"," ['type:epic', 'squad:core']","- [ ] [Adjust docs for monorepo](https://github.com/ckeditor/ckeditor5/issues/6479)

- [ ] [Restore and check image attributes POC](https://github.com/ckeditor/ckeditor5/issues/14147)

- [ ] [Research how different sources of HTML interact with img height/width attributes](https://github.com/ckeditor/ckeditor5/issues/14313)

- [ ] [Images wider than editor are shrunk horizontally](https://github.com/ckeditor/ckeditor5/issues/14542)

- [ ] [[Drag & drop, intro] Improve the drop target line](https://github.com/ckeditor/ckeditor5/issues/14645)

- [ ] [[Drag & drop + Balloon block, intro] Change the default icon](https://github.com/ckeditor/ckeditor5/issues/14646)

- [ ] [[Drag & drop] Improve images preview](https://github.com/ckeditor/ckeditor5/issues/14744)
"
15," Epic Issue: Update CKEditor Documentation and Image Handling

"," This epic issue aims to improve the CKEditor documentation and address image handling issues. The documentation changes involve revisiting the ""Custom builds"" and ""Installing plugins"" guides, removing custom builds and adding a redirect to installing plugins. Additionally, the ""Installing plugins"" guide needs a complete rewrite with the monorepo in mind. 

Regarding the image handling tasks, there are three separate issues. The first task, described in Issue #8009, involves converting the ""style=height:xx"" attribute to the model's ""resizedHeight"" for images. After resizing, two options are presented: removing ""resizedHeight"" and changing ""resizedWidth"" or changing both ""resizedHeight"" and ""resizedWidth"".

Issue #14357 focuses on setting image width and height when the user edits the image. Currently, sizes are added only when switching between block and inline, but they should also be added after resizing and potentially other changes like alignment.

To address these issues, an epic issue will be created to encompass all the tasks and documentation changes, providing a comprehensive solution.

"," ['type:epic', 'team:devops', 'team:core', 'domain:documentation', 'domain:ui/ux']","- [ ] [Revisit ""Custom builds"" and ""Installing plugins"" guides](https://github.com/ckeditor/ckeditor5/issues/6770)

- [ ] [Test and stabilize composition (IME) using beforeInput on desktop browsers (Windows)](https://github.com/ckeditor/ckeditor5/issues/8009)

- [ ] [Add image resizedHeight attribute, convert from style=height:xx](https://github.com/ckeditor/ckeditor5/issues/14357)

- [ ] [Set image width and height on resize (and possibly other image changes)](https://github.com/ckeditor/ckeditor5/issues/14557)
"
27," Migrate and Stabilize CKEditor5 Input Plugin to beforeInput Event
"," Migrating the Input plugin to the beforeInput event is a crucial task that requires thorough testing and stabilization. This epic issue aims to address multiple related issues and ensure the smooth functioning of the CKEditor5 Input plugin across different platforms and browsers. The specific issues to be tackled include testing and stabilizing composition (IME) using beforeInput on desktop browsers (Mac), testing and stabilizing beforeInput in Collaboration Features, and addressing various scenarios and use cases related to composition, formatting, auto embedding, track changes, spell check, and more.
"," ['type:epic', 'package:typing', 'package:cloud-services', 'domain:ui/ux', 'domain:dx', 'domain:typing/ime', 'squad:core', 'browser:chrome', 'browser:edge', 'browser:safari']","- [ ] [Migrate the Input plugin to the beforeInput event](https://github.com/ckeditor/ckeditor5/issues/7997)

- [ ] [Test and stabilize composition (IME) using beforeInput on desktop browsers (Mac)](https://github.com/ckeditor/ckeditor5/issues/8008)

- [ ] [Test and stabilize beforeInput in Collaboration Features](https://github.com/ckeditor/ckeditor5/issues/8013)
"
26," Inline images - Epic Issue

"," This epic issue aims to address the requirements for inline images in the software project. The main focus is on the MVP step 2, which includes the following sub-tasks: linking images, image resizing, and support for loading only the inline image feature. By completing these tasks, the software will enable users to seamlessly work with and manipulate inline images within the application.

"," ['type:epic', 'squad:core']","- [ ] [Inline images - MVP step 2](https://github.com/ckeditor/ckeditor5/issues/8666)
"
30," Epic Issue: Improvement of Search Functionality
"," This epic issue aims to enhance the search functionality by implementing a standardized action when there are no more search results available. Currently, the behavior when reaching the end of search results or encountering a query that does not match is undefined. To provide a better user experience, we need to decide on and implement a consistent action in such cases.
"," ['type:epic', 'domain:ui/ux', 'squad:features', 'package:search-functionality']","- [ ] [Action when there are no more search results available.](https://github.com/ckeditor/ckeditor5/issues/9934)
"
5," Epic Issue: Integration and Style Enhancements
"," This epic issue aims to address multiple issues related to integration and style in the CKEditor software project. The issues include problems with plugin integration, style dropdown misalignments, incorrect style retention, and issues with removing inline styles. By addressing these issues, the software project will improve its functionality, usability, and overall user experience.
"," ['type:epic', 'squad:core', 'package:style', 'package:find-and-replace', 'package:engine', 'domain:typing/ime', 'domain:dx', 'domain:integration-dx', 'domain:framework-dx', 'browser:chrome']","- [ ] [Integrate find and replace plugin with source mode](https://github.com/ckeditor/ckeditor5/issues/10001)

- [ ] [Not able to select whole paragraph with triple click when there is a table right after it](https://github.com/ckeditor/ckeditor5/issues/11130)

- [ ] [Migrate to beforeInput vol 2](https://github.com/ckeditor/ckeditor5/issues/11438)

- [ ] [[Style dropdpown] Style grid gets misaligned when two styles are in a row](https://github.com/ckeditor/ckeditor5/issues/11575)

- [ ] [[Style dropdown] Missing integration for block quotes](https://github.com/ckeditor/ckeditor5/issues/11576)

- [ ] [[Style dropdown] Incorrect style retained after creating a new paragraph](https://github.com/ckeditor/ckeditor5/issues/11578)

- [ ] [[Style dropdown] Inline styles are not disabled in the code block](https://github.com/ckeditor/ckeditor5/issues/11581)

- [ ] [[Style dropdown] Should apply block style to all selected blocks](https://github.com/ckeditor/ckeditor5/issues/11582)

- [ ] [[Style dropdown] Inline style can't be removed from an inline widget itself](https://github.com/ckeditor/ckeditor5/issues/11584)

- [ ] [[Style dropdown] Block style applied to the block before a block widget](https://github.com/ckeditor/ckeditor5/issues/11585)

- [ ] [[Style dropdown] Inline style can't be removed after adding any paragraph styling (e.g. highlight, bold, italic)](https://github.com/ckeditor/ckeditor5/issues/11588)

- [ ] [[Chrome] Can't remove the whole content when the widget is at the beginning/end of the document](https://github.com/ckeditor/ckeditor5/issues/11904)

- [ ] [[TS] Suggest and validate names of plugins and commands at type level](https://github.com/ckeditor/ckeditor5/issues/13743)

- [ ] [[Drag & drop] Upload image issues](https://github.com/ckeditor/ckeditor5/issues/14740)
"
31," Epic Issue: Improvement for Image Handling and Styles Feature
"," This epic issue encompasses several improvement suggestions related to the image plugin and the styles feature in CKEditor.
"," ['type:improvement', 'support:2']","- [ ] [Image plugin doesn't handle width/height in attributes](https://github.com/ckeditor/ckeditor5/issues/11393)

- [ ] [[Style dropdown] `<a>` text style can be applied to any text node, instead of only `<a>` elements](https://github.com/ckeditor/ckeditor5/issues/11709)

- [ ] [Styles Feature: Hide inapplicable styles instead of disabling them](https://github.com/ckeditor/ckeditor5/issues/12770)

- [ ] [Styles Feature: Allow specifying multiple (block) elements to apply to](https://github.com/ckeditor/ckeditor5/issues/12771)

- [ ] [Image size attributes and picture (art direction)](https://github.com/ckeditor/ckeditor5/issues/14532)
"
17," [Epic] Integration and Clean up for Style Dropdown and HTML Support
"," This epic issue aims to address the missing integration with block widgets and the clean up of disallowed attributes in the Style Dropdown and HTML Support packages. It involves enhancing the functionality to apply and remove styles on block widgets as well as clearing disallowed attributes upon editing. By resolving these issues, we can ensure better overall usability and adherence to design standards.
", ['type:epic'],"- [ ] [[Style dropdown] Missing integration with block widgets](https://github.com/ckeditor/ckeditor5/issues/11577)

- [ ] [[Style dropdown][GHS] Clean up disallowed attributes upon editing](https://github.com/ckeditor/ckeditor5/issues/11606)
"
19, Epic Issue: Improve Drag & Drop Functionality and Format Removal in Software ," This epic issue aims to address the following bugs related to the drag and drop functionality and format removal in the software:

1. Remove format does not remove styles applied by style dropdown plugin
2. [Drag & drop] Don't replace the image if dropped below
3. [Drag & drop] Fix d&d between editors and roots

The first issue reports that the ""Remove format"" button does nothing or is inactive when trying to remove styles applied by the style dropdown plugin. The expected result is that the button should work, especially on inline styles. 

The second issue mentions that dragging and dropping a new image below the selected image actually replaces the selected image instead of appearing below it. The expected result is for the new image to appear below the selected image. 

The third issue states that the formatting and behavior of drag and drop between editors and roots is not consistent, leading to different content. Specific examples need to be added to further describe the issue. 

These bugs need to be addressed to improve the overall user experience and the reliability of the software's drag and drop functionality and format removal feature.

"," ['type:bug', 'squad:core']","- [ ] [Remove format does not remove styles applied by style dropdown plugin](https://github.com/ckeditor/ckeditor5/issues/11580)

- [ ] [[Drag & drop] Don't replace the image if dropped below](https://github.com/ckeditor/ckeditor5/issues/14710)

- [ ] [[Drag & drop] Fix d&d between editors and roots ](https://github.com/ckeditor/ckeditor5/issues/14738)
"
11, Integration and Improvement of Styles Feature for CKEditor," Enhance the styles feature in CKEditor to improve integration with document lists and allow for better management of style definitions. The current implementation of the styles feature does not interact with document lists properly, leading to an inability to apply styles to list elements such as `ol`, `ul`, and `li`. Additionally, the style definitions can be improved by allowing multiple selectors in the `element` attribute and automatically removing conflicting classes.

"," ['type:epic', 'squad:core', 'package:style']","- [ ] [[Style dropdown] Integration with document (advanced) lists](https://github.com/ckeditor/ckeditor5/issues/11590)

- [ ] [[Style dropdown] Can't change the style of custom element introduced via Headings configuration](https://github.com/ckeditor/ckeditor5/issues/12625)

- [ ] [Can't set the style on <div> using Styles dropdown](https://github.com/ckeditor/ckeditor5/issues/13341)

- [ ] [Improvement for the styles definitions, multiple selector and class removal](https://github.com/ckeditor/ckeditor5/issues/14946)
"
12," [Epic] TypeScript-related Enhancements
"," This epic issue aims to address several TypeScript-related enhancements for CKEditor 5. It includes revising the code style guide to cover TypeScript features, adding styles to images in the Style dropdown, removing community types from @types, updating the README with TypeScript information, and implementing todo lists in document lists. These enhancements will improve the TypeScript development experience and documentation for CKEditor 5.
", ['type:epic'],"- [ ] [[TS] Revise code style guide to cover TypeScript](https://github.com/ckeditor/ckeditor5/issues/11723)

- [ ] [[Style dropdown] Add styles to images <img>](https://github.com/ckeditor/ckeditor5/issues/13778)

- [ ] [[TS] Remove community types in @types](https://github.com/ckeditor/ckeditor5/issues/13830)

- [ ] [[TS] Update README](https://github.com/ckeditor/ckeditor5/issues/13831)

- [ ] [Todo lists in Document lists](https://github.com/ckeditor/ckeditor5/issues/14663)
"
4," Epic Issue: Cannot set block style on table

"," The epic issue is about the inability to set block styles on tables. Currently, when attempting to select block styles for tables, all block styles are disabled. This prevents users from applying the desired styling to tables.

"," 
- type:epic
- squad:core
- package:style","- [ ] [Cannot set block style on table](https://github.com/ckeditor/ckeditor5/issues/12441)
"
8," Epic Issue: Software Project Management for List Plugin and Styles Feature

"," This epic issue aims to address two separate issues related to the List Plugin and Styles Feature in the software project. The first issue involves the incorrect conversion of subsequent lists with different types, resulting in resetting numbering and splitting lists. The second issue relates to a clash between the Styles Feature and Font Styling Features, where the downcast priority is not consistent.

", Epic,"- [ ] [New list plugin doesn't convert subsequent lists with a different type properly (aka resetting numbering, splitting lists)](https://github.com/ckeditor/ckeditor5/issues/12738)

- [ ] [Styles Feature Clashes With Font Styling Features Regarding Downcast Priority](https://github.com/ckeditor/ckeditor5/issues/12777)

- [ ] [[Drag & drop] Extend range when it touches beginning or end of the parent element](https://github.com/ckeditor/ckeditor5/issues/14940)
"
14," [EPIC] Add types to DLLs
<LABELS> ['squad:core']

"," This epic issue aims to add type declarations to the DLLs used in the software project. By providing type definitions for DLLs, it will enhance the developer experience and improve the overall maintainability of the codebase. The goal is to ensure that when using DLLs, developers have access to the necessary types seamlessly."," ['squad:core']

<BODY> This epic issue aims to add type declarations to the DLLs used in the software project. By providing type definitions for DLLs, it will enhance the developer experience and improve the overall maintainability of the codebase. The goal is to ensure that when using DLLs, developers have access to the necessary types seamlessly.","- [ ] [[TS] Add types to DLLs](https://github.com/ckeditor/ckeditor5/issues/13855)
"
18," Epic Issue: Stale Issues and PRs Management
<LABELS> ['type:epic', 'squad:devops']

"," This epic issue aims to implement a system for managing stale issues and pull requests in software repositories. The goal is to identify and take appropriate actions on issues and PRs that have not had any activity for a specified period of time. The system will mark such items as stale and perform actions such as adding labels, making comments, unmarking, unlabeling, or closing them based on the activity status.

The first part of this epic involves finding issues and pull requests that have been inactive for 365 days and labeling them as `status:stale`. A comment will be made on each item, notifying the user that it will be closed within 30 days.

The second part of this epic focuses on iterating over the previously marked stale issues and PRs. If there has been any new activity since marking them as stale, the system will unmark the item. If there has been no activity for 30 days, the system will unlabel and close the item. Items that are still pending feedback will be left unchanged.

The configuration fields for this system include the repository slug/name/owner, GitHub token with repo:write access, time periods for considering an item as stale or inactive, labels for identifying stale items, labels to apply when closing an item, and messages to be sent by the bot when closing an issue or PR.

"," ['type:epic', 'squad:devops']

<BODY> This epic issue aims to implement a system for managing stale issues and pull requests in software repositories. The goal is to identify and take appropriate actions on issues and PRs that have not had any activity for a specified period of time. The system will mark such items as stale and perform actions such as adding labels, making comments, unmarking, unlabeling, or closing them based on the activity status.

The first part of this epic involves finding issues and pull requests that have been inactive for 365 days and labeling them as `status:stale`. A comment will be made on each item, notifying the user that it will be closed within 30 days.

The second part of this epic focuses on iterating over the previously marked stale issues and PRs. If there has been any new activity since marking them as stale, the system will unmark the item. If there has been no activity for 30 days, the system will unlabel and close the item. Items that are still pending feedback will be left unchanged.

The configuration fields for this system include the repository slug/name/owner, GitHub token with repo:write access, time periods for considering an item as stale or inactive, labels for identifying stale items, labels to apply when closing an item, and messages to be sent by the bot when closing an issue or PR.

","- [ ] [Find issues matching criteria to mark them as stale](https://github.com/ckeditor/ckeditor5/issues/15400)

- [ ] [Determine if stale issues need an action (close, unlabel, ignore)](https://github.com/ckeditor/ckeditor5/issues/15401)
"
